Account address,Show boosts,Notify on new posts,Languages
hmans@mastodon.gamedev.place,true,false,
jalefkowit@octodon.social,true,false,
hynek@mastodon.social,true,false,
kevinmoerman@fosstodon.org,true,false,
nicoguaro@fosstodon.org,true,false,
jasongorman@mastodon.cloud,true,false,
davidfetter@kolektiva.social,true,false,
ProPublica@newsie.social,true,false,
donmccurdy@fosstodon.org,true,false,
tinfoilhat@cybercult.biz,true,false,
aherblin@bird.makeup,true,false,
Bing_Chris@mastodon.social,true,false,
cruwell@nerdculture.de,true,false,
castarco@hachyderm.io,true,false,
jeremiahpslewis@sciences.social,true,false,
antijingoist@hackers.town,true,false,
tym@tilde.zone,true,false,
JohanEmpa@mastodon.green,true,false,
anotherjohng@sigmoid.social,true,false,
claytoncubitt@mstdn.social,true,false,
gretared@sfba.social,true,false,
jpsimmon@bird.makeup,true,false,
psmaldino@qoto.org,true,false,
PostGrowthMalone@mastodon.social,true,false,
frameworkcomputer@fosstodon.org,true,false,
gdeihl@spore.social,true,false,
sophie@social.lol,true,false,
fuck_cars_bot@botsin.space,true,false,
wilbr@glitch.social,true,false,
art@mastodon.sdf.org,true,false,
kickstink@mas.to,true,false,
burgerdrome@aus.social,true,false,
thespoonless@epicure.social,true,false,
tante@tldr.nettime.org,true,false,
janamarie@chaos.social,true,false,
PumpkinSkink2@mastodon.social,true,false,
CptSuperlative@toot.cat,true,false,
toxi@mastodon.thi.ng,true,false,
geomob@mapstodon.space,true,false,
mzedp@mas.to,true,false,
organicmaps@fosstodon.org,true,false,
Pod@newsie.social,true,false,
adtzlr@mathstodon.xyz,true,false,
BrentToderian@mastodon.online,true,false,
robpike@hachyderm.io,true,false,
GeofCox@climatejustice.social,true,false,
stecklow@bird.makeup,true,false,
baldur@toot.cafe,true,false,
emilymbender@dair-community.social,true,false,
joeyh@hachyderm.io,true,false,
brohrer@recsys.social,true,false,
philippbirken@fediscience.org,true,false,
Natasha_Jay@tech.lgbt,true,false,
Hypx@mastodon.social,true,false,
andrewdessler@mastodon.world,true,false,
advisorybriefs@mas.to,true,false,
ajsadauskas@aus.social,true,false,
IdoLiven@masto.ai,true,false,
verdantdavid@aus.social,true,false,
mikestevens@aus.social,true,false,
chaser@mastodon.au,true,false,
davidg@mastodon.au,true,false,
relwalretep@mastodon.sdf.org,true,false,
gwenbeads@mathstodon.xyz,true,false,
montepaulsen@mstdn.ca,true,false,
garykrysztopik@techhub.social,true,false,
tallship@social.sdf.org,true,false,
scerruti@csed.social,true,false,
mattontech@mastodon.sdf.org,true,false,
bambipotf@sfba.social,true,false,
dave@mastodon.solar,true,false,
jimm@sunny.garden,true,false,
anildash@me.dm,true,false,
CascadiaCAN@climatejustice.rocks,true,false,
Andy_Gheorghiu@universeodon.com,true,false,
coffeemayonnaise@mastodon.energy,true,false,
Victor@spore.social,true,false,
mikemccaffrey@wandering.shop,true,false,
lakens@mastodon.social,true,false,
jon@vivaldi.net,true,false,
croselund@mastodon.energy,true,false,
Eunakria@mastodon.online,true,false,
joedangerdan@mastodon.social,true,false,
SebasFC@mastodont.cat,true,false,
richardwerskine@toot.community,true,false,
simonblackley@mastodon.online,true,false,
osi@opensource.org,true,false,
industrydecarbonization@mastodon.online,true,false,
elliemcohen1@mastodon.social,true,false,
acjay@qoto.org,true,false,
gretathunberg@mastodon.nu,true,false,
QuantaMagazine@mstdn.social,true,false,
mikejelfs@mastodonapp.uk,true,false,
StayGrounded_net@mastodon.social,true,false,
klimateriet@mastodon.online,true,false,
krlvi@sigmoid.social,true,false,
anttipeltola@mastodon.world,true,false,
dmoser@mastodon.social,true,false,
stephenfleming@mastodon.social,true,false,
Stefan_S_from_H@mastodon.social,true,false,
lazurski@chaos.social,true,false,
EtiOst@mastodon.world,true,false,
Bandivadekar@mastodon.green,true,false,
8eau@mastodontech.de,true,false,
jimbodie@mstdn.social,true,false,
Fabio_Galletti_@mastodon.uno,true,false,
brad262run@mastodon.online,true,false,
richardknott@mastodon.social,true,false,
peterlhansen@mastodon.social,true,false,
drvolts@journa.host,true,false,
schafer@ohai.social,true,false,
bobwyman@mastodon.social,true,false,
natematias@social.coop,true,false,
davidsirota@mastodon.online,true,false,
randometc@mastodon.social,true,false,
nattyover@sciencemastodon.com,true,false,
MalthusJohn@c.im,true,false,
CelloMomOnCars@mastodon.social,true,false,
dangillmor@mastodon.social,true,false,
InfopointA@det.social,true,false,
MeanwhileinCanada@ohai.social,true,false,
darrylxxx@mastodon.ie,true,false,
ProjectPhysX@mast.hpc.social,true,false,
josephgruber@josephgruber.space,true,false,
wilf@social.coop,true,false,
LukaszHorodecki@pol.social,true,false,
tzanio@hachyderm.io,true,false,
dmitri@mas.to,true,false,
jedbrown@hachyderm.io,true,false,
paulg@mas.to,true,false,
agrinsted@fediscience.org,true,false,
tristramg@mamot.fr,true,false,
Zitzero@julialang.social,true,false,
ben@werd.social,true,false,
TimHarford@econtwitter.net,true,false,
